## Physics and Engineering 
ASTROPY :: Astronomy in Python package fosters interoperability between Python astronomy packages. :: tag 0 :: 
EINSTEIN :: The Einstein Toolkit is a community-driven software platform of core computational tools to advance and support research in relativistic astrophysics and gravitational physics. :: tag 0 :: 
CDO  ::    CDO is a collection of command line Operators to manipulate and analyse Climate and NWP model Data. :: tag0::
CLHEP  ::    Set of HEP-specific foundation and utility classes such as random generators, physics vectors, geometry and linear algebra.  :: tag0::
CP2K  ::    CP2K is the state-of-the-art method for accurate atomistic simulations. :: tag0::
GEANT4  ::     toolkit for the simulation of the passage of particles through matter. :: tag0::
GLPK  ::    glpk is the GNU's linear programming took kit. :: tag0::
GNUPLOT  ::    Gnuplot is an application for generating plots. :: tag0::
GRAPHVIZ  ::    Graphviz is an application for visualizing networks and graphs. :: tag0::
GRASS  ::    GRASS (Geographic Resources Analysis Support System) :: tag0::
LAMMPS  ::    LAMMPS is a particle simulator code. :: tag0::
MADGRAPH  ::    MadGraph is a monte carlo generator for particle physics interactions :: tag0::
OCTAVE  ::    Octave is a high-level interpreted language :: tag0::
QHULL  ::    qhull libraries provide functions for computing convex hull. :: tag0::
R  ::    R is a free software environment for statistical computing and graphics. :: tag0::
ROOT  ::    ROOT is a high energy physics data analysis framework. :: tag0::
SIESTA  ::    SIESTA performs efficient electronic structure calculations of molecules and solids. :: tag0::
UDUNITS  ::    UDUNITS package supports units of physical quantities. :: tag0::
MATLAB :: Runtime libraries. The MATLAB Runtime is a standalone set of shared libraries that enables the execution of compiled MATLAB applications or components on computers that do not have MATLAB installed. :: tag0::
EEMT :: EEMT stack which includes a bunch of GIS tools :: tag0 ::
PSIMS :: A set of packages for needed for the PSIMS (numpy, h5py, netcdf4) :: tag0 :: 
OPENSEES :: OpenSees is a software framework for developing applications to simulate the performance of structural and geotechnical sys tems subjected to earthquakes. :: tag0 ::
LMOD :: Lmod is a Lua based module system that easily handles the MODULEPATH Hierarchical problem. :: tag0 :: 
SAC :: The IRIS DMC distributes the Seismic Analysis Code (SAC) software for scientists conducting research using IRIS data. :: tag0 ::
JULIA :: Julia is a high-level, high-performance dynamic programming language for technical computing, with syntax that is familiar to users of other technical computing environments. :: tag0 ::
GDAL :: GDAL is a translator library for raster and vector geospatial data formats that is released by the Open Source Geospatial Foundation. :: tag0 ::
PYTORCH :: PYTORCH Tensors and Dynamic neural networks in Python with strong GPU acceleration. :: tag0 ::
PANDANA :: PANDANA performs hundreds of thousands of network queries in under a second (for walking-scale distances)  :: tag0 ::
ROOT_NUMPY :: ROOT_NUMPY is a Python extension module that provides an efficient interface between ROOT and NumPy :: tag0 ::

## Chemistry and Biochemistry 
ARC-LITE  ::    arc-lite (ARCIMBOLDO) is a package for the protein structure refinement. :: tag1::
AUTODOCK  ::    Autodock is a suite of automated docking tools to predict how small molecules bind to a receptor. :: tag1::
CASINO  ::    CASINO performs quantum Monte Carlo (QMC) electronic structure calculations. :: tag1::
CCP4  ::    arc-lite (ARCIMBOLDO) is a package for the protein structure refinement. :: tag1::
GAMESS  ::    GAMESS is a general ab initio quantum chemistry package. :: tag1::
GROMACS  ::    Gromacs molecular dynamics simulator. Requires fftw/fftw-3.3.4-gromacs :: tag1::
NAMD  ::    NAnoscale Molecular Dynamics (NAMD) program. :: tag1::
OPENBABEL  ::    Open Babel is a chemical toolbox designed to speak the many languages of chemical data. :: tag1::
PHENIX  ::    software suite for the determination of molecular structures from X-Ray and other methods. :: tag1::
PSI4  ::    Psi4 is an open-source suite of ab initio quantum chemistry programs designed for efficient, high-accuracy simulations of a variety of molecular properties.  :: tag1::
ROSETTA  ::    The Rosetta software suite includes algorithms for computational modeling and analysis of protein structures. :: tag1::
SHELX  ::    SHELX is a set of programs for the determination of small and macromolecular crystal structures. :: tag1::
SHELX  ::    SHELX is a set of programs for the determination of small and macromolecular crystal structures. :: tag1::
SQLITE  ::    SQLite is a software library that implements a self-contained, serverless, zero-configuration, transactional SQL database engine. :: tag1::
VMD  ::    VMD is a molecular dynamics visualization application. :: tag1::
OPENBUGS :: OpenBUGS is a software package for performing Bayesian inference Using Gibbs Sampling. :: tag1 :: 
ORCA :: ORCA is a general-purpose quantum chemistry program package. :: tag1 :: 
ESPRESSO :: Quantum Espresso is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. :: tag1 :: 
OPENSIM :: OpenSim is an open source software system for biomechanical modeling, simulation and analysis. :: tag1 ::
SIMBODY :: Simbody is an open source software system for biomechanical modeling, simulation and analysis. :: tag1 ::

 
## Image Analysis 
ANTS  ::    ANTs is a popular toolkit for medical image registration and segmentation. :: tag2::
BLENDER  ::    Blender 3D rendering software. :: tag2::
ELASTIX  ::   consists of a collection of algorithms that are commonly used to solve (medical) image registration problems :: tag2::
FIJI  ::    Fiji is an image processing package. It can be described as a "batteries-included" distribution of ImageJ (and ImageJ2) :: tag2::
FREESURFER  ::    Freesurfer is an open source software suite for processing and analyzing (human) brain MRI images.  :: tag2::
FSL  ::    FSL is a comprehensive library of analysis tools for FMRI, MRI and DTI brain imaging data :: tag2::
IMAGEMAGICK :: Imagemagick is a set of image manipulation tools. :: tag2 ::
IGRAPH :: igraph is a library for creating and manipulating graphs. :: tag2 :: 
GATE :: Gate does simulations of preclinical and clinical scans in Emission Tomography, Transmission Tomography a nd Radiation Therapy. :: tag2 ::
IMAGE_MODULES :: Image_modules includes a set of Python packages for needed for the image processing :: tag2 ::

 
## Bioinformatics 
ETE2 ::  ETE is a toolkit based on Python framework for the analysis and visualization of trees.:: tag3 ::
ABYSS :: ABySS is a de novo, parallel, paired-end sequence assembler that is designed for short reads. :: tag3 ::
BEDTOOLS  ::    A set of tools for a wide-range of genomics analysis tasks. :: tag3::
BEDTOOLS  ::    A set of tools for a wide-range of genomics analysis tasks. :: tag3::
BLASR  ::    Blasr is a tool to search and align sequences with refinements. :: tag3::
PRODIGAL  ::    Fast, reliable protein-coding gene prediction for prokaryotic genomes. :: tag3::
BLAST  ::    Blast is a tool to search and align gene and protein sequences. :: tag3::
BOWTIE  ::    Bowtie is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences. :: tag3::
BWA  ::    BWA is a package for mapping low-divergent sequences against a large reference genome. :: tag3::
CUFFLINKS  ::    Cufflinks assembles transcripts :: tag3::
HMMER  ::    HMMER searches and aligns homologs of protein sequences using hidden Markov models. :: tag3::
MRBAYES  ::    MrBayes is a program for Bayesian inference of phylogenetic and evolutionary models. :: tag3::
MUSCLE  ::    MUSCLE stands for MUltiple Sequence Comparison by Log-Expectation :: tag3::
PBSUITE  ::    PBSuite is a software for long-read sequencing data from PacBio. :: tag3::
SAMTOOLS  ::    Samtools is a set of utilities for working with data in sequence alignment map format. :: tag3::
SHRIMP  ::    SHRiMP is a software package for aligning genomic reads against a target genome. :: tag3::
SRA  ::    The NCBI SRA Toolkit enables reading ("dumping") of sequencing files from the SRA database and writing ("loading") files into the .sra format  :: tag3::
TOPHAT  ::    TopHat is a fast splice junction mapper for RNA-Seq reads. :: tag3::
UCLUST  ::    Uclust offers search and clustering algorithms that are often orders of magnitude faster than BLAST. :: tag3::
MUMMER :: MUMmer is a system for rapidly aligning entire genomes, whether in complete or draft form :: tag3 ::
MOTHUR :: mothur is a project that seeks to develop a single piece of open-source, expandable software to fill the bioinformatics nee ds of the microbial ecology community. :: tag3 ::
SEQGEN :: Seq-Gen is a program that will simulate the evolution of nucleotide or amino acid sequences along a phylogeny :: tag3 ::
TRANSABYSS :: de novo assembly of RNA-Seq data using ABySS :: tag3 :: 
NGSTOOLS ::  ngsTools is a collection of programs for population genetics analyses from NGS data, taking into account its statistical un certainty. :: tag3 :: 
RAXML :: A tool for Phylogenetic Analysis and Post-Analysis of Large Phylogenies :: tag3 :: 
RAXML-NG :: Phylogenetic tree inference tool which uses maximum-likelihood (ML) optimality criterion. :: tag3 :: 
TASSEL :: TASSEL has functionality for association study, evaluating evolutionary relationships, analysis of linkage disequilibrium, principal component analysis, cluster analysis, missing data imputation and data visualization. :: tag3 :: 
STRINGTIE :: StringTie is a fast and highly efficient assembler of RNA-Seq alignments into potential transcripts. :: tag3 :: 
HISAT2 :: HISAT2 is a fast and sensitive alignment program for mapping next-generation sequencing reads (both DNA and RNA) against th e general human population (as well as against a single reference genome). :: tag3 :: 
ENTROPY :: Admixture and the organization of genetic diversity in a butterfly species complex revealed through common and rare genetic variants. :: tag3 ::
VIENNARNA :: ViennaRNA Package consists of a C code library and several stand-alone programs for the prediction and comparison of RNA secondary structures. :: tag3 ::

 
## Numerical Libraries 
LAPACK :: LAPACK (Linear Algebra Package) is a standard software library for numerical linear algebra. :: tag4 ::
ATLAS :: The ATLAS (Automatically Tuned Linear Algebra Software) provides optimzied libraries for Linear Algebra. :: tag4 ::
EIGEN :: Eigen is a C++ template library for linear algebra: matrices, vectors, numerical solvers, and related algorithms. :: tag4 ::
